n_features,events_per_variable,auprc,auprc_lo,auprc_hi,ci_width,across_repeat_sd
5,24.0,0.29035485328205995,0.19353496427953887,0.4249646488937516,0.2314296846142127,0.03048548455731002
10,12.0,0.32503921256399393,0.19191305881428739,0.5193616354814162,0.32744857666712884,0.03180856521184732
20,6.0,0.4681355622989219,0.35391521641105955,0.6013301354513818,0.24741491904032226,0.020295204038648734
40,3.0,0.49588792529375014,0.3768539880938209,0.6292895690998552,0.2524355810060343,0.017759268857955184
67,1.791044776119403,0.4929830361482369,0.37622136923532457,0.6256789222398392,0.24945755300451466,0.019534161102823844
