repeat,fold,model,n_masked,auprc,auroc
0,0,none (baseline),0,0.34799281512775726,0.7862573099415204
0,0,drop hr,7,0.46638201925793377,0.8351608187134503
0,0,drop rr,7,0.3644524109661494,0.7588450292397662
0,0,drop spo2,7,0.39081287330663567,0.7010233918128655
0,0,drop sbp,7,0.4268518565577163,0.7006578947368421
0,0,drop map,7,0.2735577526816496,0.7771198830409357
0,0,drop temp_c,7,0.3842006632367328,0.7565058479532164
0,0,drop gcs_total,7,0.3509777011341805,0.8873538011695906
0,0,drop fio2,7,0.2723736844030834,0.775
0,0,drop glucose,7,0.34881230587808426,0.7953947368421053
0,0,post_discharge_realistic,22,0.29726145884250305,0.8654239766081872
0,0,wrist_only_channels,50,0.2934185823278265,0.6735380116959064
0,1,none (baseline),0,0.5475813705076392,0.7472794959908362
0,1,drop hr,7,0.5287293452167193,0.6816294387170676
0,1,drop rr,7,0.5341174471574062,0.6833476517754868
0,1,drop spo2,7,0.5624053461380795,0.8265320733104239
0,1,drop sbp,7,0.5058058011243338,0.6958046964490263
0,1,drop map,7,0.5455416276594498,0.7893757159221076
0,1,drop temp_c,7,0.5244277525707566,0.7395475372279496
0,1,drop gcs_total,7,0.6152034208891922,0.8509450171821306
0,1,drop fio2,7,0.46282923068873105,0.74971363115693
0,1,drop glucose,7,0.538750698659622,0.749856815578465
0,1,post_discharge_realistic,22,0.35275207221244004,0.7478522336769761
0,1,wrist_only_channels,50,0.36087787510095753,0.6656643757159221
0,2,none (baseline),0,0.6512487310208912,0.9522447183098592
0,2,drop hr,7,0.6208054397363937,0.9197476525821597
0,2,drop rr,7,0.7109714426277188,0.9677963615023474
0,2,drop spo2,7,0.6147815137944942,0.9387470657276995
0,2,drop sbp,7,0.6265423231693031,0.9325850938967136
0,2,drop map,7,0.6716751568056099,0.942268192488263
0,2,drop temp_c,7,0.5866254236844509,0.9338321596244131
0,2,drop gcs_total,7,0.6105244211350466,0.9374266431924883
0,2,drop fio2,7,0.540587914789744,0.933905516431925
0,2,drop glucose,7,0.6737557800907067,0.9605340375586855
0,2,post_discharge_realistic,22,0.4215547386897635,0.8805017605633804
0,2,wrist_only_channels,50,0.24703507252484339,0.7645980046948355
0,3,none (baseline),0,0.45901663007507126,0.8451023391812865
0,3,drop hr,7,0.4399989352667531,0.7908625730994152
0,3,drop rr,7,0.4490418504720556,0.8239766081871346
0,3,drop spo2,7,0.41612231408330724,0.7599415204678361
0,3,drop sbp,7,0.37411833071611605,0.8083333333333333
0,3,drop map,7,0.41377539998492663,0.8241228070175438
0,3,drop temp_c,7,0.4592213777049002,0.8437134502923976
0,3,drop gcs_total,7,0.4475802216137807,0.8288742690058479
0,3,drop fio2,7,0.36509746432041745,0.8380116959064328
0,3,drop glucose,7,0.4594243604634978,0.8505847953216374
0,3,post_discharge_realistic,22,0.36879082478273173,0.8291666666666668
0,3,wrist_only_channels,50,0.1273303527424577,0.5395833333333333
0,4,none (baseline),0,0.52343967685472,0.7995752782659636
0,4,drop hr,7,0.5376524929905896,0.8238137082601056
0,4,drop rr,7,0.5435480781841368,0.7798769771528999
0,4,drop spo2,7,0.41378627507553584,0.7240773286467488
0,4,drop sbp,7,0.4923998152351344,0.8304042179261863
