auprc,auprc_lo,auprc_hi,ci_width,cv_mean_auprc,across_repeat_sd,n_repeats,fraction,draw,n_subjects,n_positive_subjects,n_rows,n_positive_rows
0.5408037418158298,0.2918365776417503,0.9417051614030011,0.6498685837612508,0.6432986683058216,0.03789760128356238,10,0.25,0,23,12,781,23
0.10595788785650442,0.05085725352167604,0.2545646095286848,0.2037073560070088,0.2003783680469967,0.024127386058966385,10,0.25,1,23,10,638,40
0.199892815827236,0.06582817731091263,0.5404407375832025,0.47461256027228993,0.3339310799967765,0.04685640915002929,10,0.25,2,23,9,851,28
0.44418850254976167,0.22212809751651663,0.8588142086508077,0.6366861111342911,0.5622468099400665,0.05557929279786643,10,0.25,3,23,13,703,29
0.18689174753893956,0.07070536813146508,0.5234149304004586,0.4527095622689935,0.6175460550306061,0.07864661136939653,10,0.25,4,23,10,739,21
0.2907284762276615,0.13674978973521365,0.6185237440364468,0.48177395430123315,0.3930647633764127,0.01788287043111837,10,0.25,5,23,11,1195,24
0.4196297264184298,0.28459913783063717,0.6583960025310787,0.3737968647004415,0.5041155840280775,0.021080731918595937,10,0.4,0,37,19,977,52
0.33217512936272575,0.1928143617188107,0.5535455331681374,0.36073117144932665,0.3974549464242051,0.018289714007681545,10,0.4,1,37,21,1187,47
0.5890911036132358,0.40892014897616946,0.7923510241009807,0.3834308751248112,0.6766254637519854,0.02832371183556519,10,0.4,2,37,16,1666,28
0.47991177912484756,0.2925031258785079,0.7855937482793973,0.4930906224008894,0.5898790537824338,0.027597815345325183,10,0.4,3,37,18,1192,35
0.38435059272446637,0.27129215875866164,0.680649994009898,0.40935783525123637,0.5075480675461637,0.026791105328342276,10,0.4,4,37,23,1258,51
0.33844712359487894,0.18829082495507218,0.5777946828763226,0.3895038579212504,0.41124937186685917,0.035352639760975066,10,0.4,5,37,21,1317,49
0.49508887367110155,0.36736778328639563,0.6761455360551457,0.3087777527687501,0.5101718568389372,0.02101218768175405,10,0.55,0,51,30,1574,65
0.3392336150772671,0.21985682215150598,0.5337060852530803,0.3138492631015743,0.44939382884567913,0.018649468353697882,10,0.55,1,51,29,1689,74
0.45378936102320205,0.31971999633440185,0.6279200937472523,0.3082000974128505,0.4749616094850223,0.031693286732055584,10,0.55,2,51,28,1517,71
0.5356527929188808,0.39821570925358685,0.7237283742535446,0.3255126649999578,0.5641073026309747,0.009823858395754446,10,0.55,3,51,30,1628,67
0.4639827674625929,0.3475053957139154,0.6299822522381098,0.28247685652419435,0.4554783437746394,0.01953638090493463,10,0.55,4,51,30,1187,90
0.5648555632319303,0.39642424342858523,0.7617042651173492,0.365280021688764,0.6179280033919429,0.021544895685067605,10,0.55,5,51,29,1599,60
0.4149520589076219,0.2940670242127926,0.5883301381852865,0.29426311397249383,0.45705470736321707,0.012405134165980644,10,0.7,0,65,36,1830,81
0.45862990604385323,0.3622744451714109,0.6056483399706877,0.2433738947992768,0.47388936677632437,0.015040815005565918,10,0.7,1,65,36,2110,97
0.5050551799626659,0.3501965221376444,0.7062107138659737,0.35601419172832927,0.5245484025564042,0.02006038325570415,10,0.7,2,65,31,2174,75
0.552438833497387,0.4372200509841471,0.7028538174821957,0.26563376649804854,0.5388440356047738,0.024489018127355617,10,0.7,3,65,38,1665,93
0.6150097317381839,0.484709671533276,0.7737383214581539,0.2890286499248779,0.6132985843805535,0.016881475637970864,10,0.7,4,65,38,2244,82
0.48372818916661675,0.35765051481239096,0.6744901990954048,0.3168396842830138,0.5036852414603321,0.01826655353658215,10,0.7,5,65,33,1961,80
0.466141101658148,0.3316220452072343,0.6362187089307958,0.3045966637235615,0.5384248930709183,0.01675066441307892,10,0.85,0,79,39,2731,85
0.478045583404904,0.33914626834268824,0.6503714981689347,0.31122522982624645,0.47987939982291583,0.021242259600932106,10,0.85,1,79,41,2555,98
0.47166692317866926,0.3434654223701418,0.6291884094896218,0.28572298711948,0.48727082878593714,0.026008094096843605,10,0.85,2,79,42,2388,99
0.49323477919897907,0.36759912050358223,0.6567092889544025,0.28911016845082027,0.4918870520041081,0.019628252563257006,10,0.85,3,79,40,2552,101
0.437818948638322,0.3267965516215534,0.582230326797476,0.2554337751759226,0.4624917525857215,0.02713910477516342,10,0.85,4,79,45,2463,114
0.5309473483657158,0.4027734956217108,0.6973708657722946,0.2945973701505838,0.5428983577288232,0.013736158728730538,10,0.85,5,79,43,2529,103
0.4929830361482369,0.37622136923532457,0.6256789222398392,0.24945755300451466,0.5049382762155653,0.019534161102823844,10,1.0,0,93,49,2979,120
