model,repeat,fold,auroc,auprc,n_test,n_pos_test
wrist_consumer,4,0,0.8034389269406391,0.3361833783424968,608,24
wrist_consumer,4,1,0.7976507092198581,0.32625551298434124,588,24
wrist_consumer,4,2,0.6606008087810514,0.17096426252730407,601,24
wrist_consumer,4,3,0.6906654888103652,0.34287802793501504,590,24
wrist_consumer,4,4,0.6707746478873239,0.15779727012548855,592,24
wrist_consumer,5,0,0.7325665509259259,0.3292974814815216,600,24
wrist_consumer,5,1,0.8058762581409118,0.22954427591276183,587,24
wrist_consumer,5,2,0.7091360186806771,0.36908828803772226,595,24
wrist_consumer,5,3,0.708626244874048,0.2798544296616598,593,24
wrist_consumer,5,4,0.7105603448275862,0.236816954801141,604,24
wrist_consumer,6,0,0.8498019366197183,0.3119826545865636,592,24
wrist_consumer,6,1,0.8447306098283007,0.4512718610623631,587,24
wrist_consumer,6,2,0.7442627653471027,0.3139013224849308,605,24
wrist_consumer,6,3,0.710620354488279,0.3974605504474974,607,24
wrist_consumer,6,4,0.6664450354609929,0.09287905878587,588,24
wrist_consumer,7,0,0.8419009958992384,0.30359479358548885,593,24
wrist_consumer,7,1,0.8543123543123542,0.4065263544772991,596,24
wrist_consumer,7,2,0.7894280762564991,0.2623919111288171,601,24
wrist_consumer,7,3,0.5612573099415205,0.19437025716252027,594,24
wrist_consumer,7,4,0.7057063631056626,0.25292945497080327,595,24
wrist_consumer,8,0,0.7906450671336835,0.22121119251557386,595,24
wrist_consumer,8,1,0.8240497076023392,0.387340209962595,594,24
wrist_consumer,8,2,0.7564878892733564,0.320760520109283,602,24
wrist_consumer,8,3,0.7173403632103105,0.4109489145516312,593,24
wrist_consumer,8,4,0.7414623467600701,0.20175602937992732,595,24
wrist_consumer,9,0,0.7902753368482718,0.3667215232712618,593,24
wrist_consumer,9,1,0.8184165232358004,0.3251640003358944,605,24
wrist_consumer,9,2,0.677027827116637,0.2925688396714788,587,24
wrist_consumer,9,3,0.672787610619469,0.34917784264972795,589,24
wrist_consumer,9,4,0.6612880091795754,0.15541750985843494,605,24
wrist_consumer,10,0,0.8261986301369864,0.3179113081376297,608,24
wrist_consumer,10,1,0.8254284869976359,0.3078980060863877,588,24
wrist_consumer,10,2,0.6460860774119006,0.2037501593555825,601,24
wrist_consumer,10,3,0.6944935217903415,0.273118963549818,590,24
wrist_consumer,10,4,0.7172828638497653,0.18333888823707567,592,24
wrist_consumer,11,0,0.753638698630137,0.35139243880511295,608,24
wrist_consumer,11,1,0.8241725768321513,0.3629389650880333,588,24
wrist_consumer,11,2,0.7636481802426343,0.2849167969466019,601,24
wrist_consumer,11,3,0.6679181389870436,0.20352137046909946,590,24
wrist_consumer,11,4,0.7491197183098591,0.18481855667103017,592,24
wrist_consumer,12,0,0.790713028169014,0.19742951146543028,592,24
wrist_consumer,12,1,0.8583111308466549,0.43743346802977295,587,24
wrist_consumer,12,2,0.768932874354561,0.2613899173760556,605,24
wrist_consumer,12,3,0.6966838193253287,0.31045878584525083,607,24
wrist_consumer,12,4,0.6778221040189125,0.22611241782434516,588,24
wrist_consumer,13,0,0.8425762910798122,0.30061220881317924,592,24
wrist_consumer,13,1,0.7875222024866785,0.32414560040187623,587,24
wrist_consumer,13,2,0.7290590935169249,0.26733588249569895,605,24
