repeat,fold,kit,arm,auprc,auroc
0,0,icu_full,masked_at_inference,0.33817588954020555,0.8532163742690059
0,0,icu_full,dropout_trained,0.26909673267344136,0.7117690058479531
0,0,watch_only,masked_at_inference,0.1753785884903412,0.5448099415204678
0,0,watch_only,dropout_trained,0.1543870643955531,0.6130847953216375
0,0,watch_plus_cuff,masked_at_inference,0.2076261166228586,0.8114766081871345
0,0,watch_plus_cuff,dropout_trained,0.2646612081669735,0.6921783625730994
0,0,full_home,masked_at_inference,0.21990045950568704,0.7967836257309941
0,0,full_home,dropout_trained,0.24840575922985883,0.6894736842105262
0,1,icu_full,masked_at_inference,0.5512957870915066,0.8423539518900344
0,1,icu_full,dropout_trained,0.5536978083349068,0.7972508591065292
0,1,watch_only,masked_at_inference,0.2729523230266396,0.7950315005727377
0,1,watch_only,dropout_trained,0.4857743724937917,0.786655211912944
0,1,watch_plus_cuff,masked_at_inference,0.3944179902123498,0.8722794959908362
0,1,watch_plus_cuff,dropout_trained,0.5260130692194286,0.7884450171821306
0,1,full_home,masked_at_inference,0.3834828624324005,0.8710624284077892
0,1,full_home,dropout_trained,0.5242975656483416,0.7899484536082474
0,2,icu_full,masked_at_inference,0.5922516054930475,0.9405809859154931
0,2,icu_full,dropout_trained,0.40959728910103105,0.8429430751173709
0,2,watch_only,masked_at_inference,0.232070453668329,0.7566021126760563
0,2,watch_only,dropout_trained,0.34628702938769507,0.7962147887323944
0,2,watch_plus_cuff,masked_at_inference,0.42278003557844107,0.8854900234741784
0,2,watch_plus_cuff,dropout_trained,0.368772633356941,0.8154342723004695
0,2,full_home,masked_at_inference,0.39354568549422514,0.8748532863849764
0,2,full_home,dropout_trained,0.37485467780089987,0.8262177230046949
0,3,icu_full,masked_at_inference,0.46151635496867205,0.8504385964912281
0,3,icu_full,dropout_trained,0.3272947784666229,0.8100877192982455
0,3,watch_only,masked_at_inference,0.11782166841538978,0.5474415204678362
0,3,watch_only,dropout_trained,0.24475218351354724,0.7979166666666666
0,3,watch_plus_cuff,masked_at_inference,0.2553433344577527,0.7828947368421052
0,3,watch_plus_cuff,dropout_trained,0.2989242697183917,0.8067251461988304
0,3,full_home,masked_at_inference,0.2615209633840835,0.7890350877192982
0,3,full_home,dropout_trained,0.30270006040685266,0.8072368421052631
0,4,icu_full,masked_at_inference,0.5435536360325364,0.8873022847100175
0,4,icu_full,dropout_trained,0.45340601839163014,0.8853251318101933
0,4,watch_only,masked_at_inference,0.3560595916787039,0.7760691271236086
0,4,watch_only,dropout_trained,0.4417204620673595,0.9228178090216754
0,4,watch_plus_cuff,masked_at_inference,0.3418648965300082,0.8731693028705331
0,4,watch_plus_cuff,dropout_trained,0.44040746266347475,0.892647920328061
0,4,full_home,masked_at_inference,0.34462191747712956,0.8703866432337433
0,4,full_home,dropout_trained,0.4382486264477017,0.8925014645577036
1,0,icu_full,masked_at_inference,0.5359852897644481,0.8482448630136987
1,0,icu_full,dropout_trained,0.3757931552610476,0.8695776255707762
1,0,watch_only,masked_at_inference,0.157246032877103,0.697203196347032
1,0,watch_only,dropout_trained,0.29680384027061074,0.8617294520547946
1,0,watch_plus_cuff,masked_at_inference,0.2609629325313515,0.7900970319634703
1,0,watch_plus_cuff,dropout_trained,0.35915297369014276,0.8746432648401826
1,0,full_home,masked_at_inference,0.29267245332979624,0.7985873287671232
1,0,full_home,dropout_trained,0.3530659810412821,0.8667237442922374
1,1,icu_full,masked_at_inference,0.45693286481323697,0.7595301418439716
1,1,icu_full,dropout_trained,0.43463189580873834,0.7997192671394798
1,1,watch_only,masked_at_inference,0.3485944295620648,0.8479979314420804
1,1,watch_only,dropout_trained,0.33365345130468194,0.7691341607565012
1,1,watch_plus_cuff,masked_at_inference,0.31775616944736285,0.7446808510638299
1,1,watch_plus_cuff,dropout_trained,0.37253892714898545,0.7655141843971631
1,1,full_home,masked_at_inference,0.3125733057455291,0.7259899527186762
1,1,full_home,dropout_trained,0.3784982071059094,0.7678782505910167
1,2,icu_full,masked_at_inference,0.48304603838650084,0.9459849797804737
1,2,icu_full,dropout_trained,0.43246342344579947,0.8807047949162334
1,2,watch_only,masked_at_inference,0.3386429762371765,0.7743356441363374
1,2,watch_only,dropout_trained,0.3375273149735924,0.7944107452339688
1,2,watch_plus_cuff,masked_at_inference,0.2873074050508033,0.8526140958983247
1,2,watch_plus_cuff,dropout_trained,0.38391168031377676,0.8500866551126517
1,2,full_home,masked_at_inference,0.29041244433438884,0.857163489312536
1,2,full_home,dropout_trained,0.39213233044866985,0.8581744656268053
1,3,icu_full,masked_at_inference,0.6300805241092996,0.9221142520612485
1,3,icu_full,dropout_trained,0.33424366658401217,0.6905918727915195
1,3,watch_only,masked_at_inference,0.3730786520870822,0.6857332155477032
1,3,watch_only,dropout_trained,0.29119341139948335,0.6029151943462898
1,3,watch_plus_cuff,masked_at_inference,0.36863116771376014,0.7993963486454653
1,3,watch_plus_cuff,dropout_trained,0.2848179584910949,0.6648262661955242
1,3,full_home,masked_at_inference,0.36216314320264514,0.7988074204946995
1,3,full_home,dropout_trained,0.2887049812613534,0.6702738515901059
1,4,icu_full,masked_at_inference,0.4215813261078279,0.7544014084507042
1,4,icu_full,dropout_trained,0.2982892238549347,0.7556484741784038
1,4,watch_only,masked_at_inference,0.07846369499686313,0.472381161971831
1,4,watch_only,dropout_trained,0.20768487091500065,0.7398034037558684
1,4,watch_plus_cuff,masked_at_inference,0.24114903986146488,0.7088835093896714
1,4,watch_plus_cuff,dropout_trained,0.24749782496920023,0.7593163145539905
1,4,full_home,masked_at_inference,0.24902106086049863,0.7221977699530516
1,4,full_home,dropout_trained,0.24738826018601684,0.754181338028169
2,0,icu_full,masked_at_inference,0.4308025613919858,0.8481725146198831
2,0,icu_full,dropout_trained,0.29054364269815375,0.7969298245614035
