model,cv_mean_auroc,cv_mean_auprc,auroc_point,auroc_lo,auroc_hi,auprc_point,auprc_lo,auprc_hi,brier,n_features
icu_full_lightgbm,0.8198142824837538,0.5018319217039129,0.823388131048152,0.726897579854063,0.9165496053993014,0.4929830361482369,0.37626551438871364,0.6318520610696546,,67
wrist_consumer,0.7473503212550382,0.3053206237773582,0.7541127433834673,0.6577408394644495,0.8581186858704287,0.26928291233313717,0.1861841785283048,0.39401335467346515,,15
wrist_strict,0.7163421469061477,0.23284685183382656,0.7174128483152618,0.6181656839579865,0.8224989593031498,0.20367986883747036,0.12444851630842961,0.3556252103203682,,8
wrist_hr_rule,0.6659623704713432,0.1580177639443303,0.6673837005946135,0.5456560050625316,0.7685548268514167,0.11329586453294806,0.050114100402632596,0.23973282762808418,,8
news2_hospital,0.6760245081509386,0.12898899367938982,0.6729334266060394,0.5815649805974903,0.7561215383646568,0.09525030736793802,0.048732765845732294,0.1873186965752263,,69
