model,repeat,fold,auroc,auprc,n_test,n_pos_test
icu_physiology (previous),9,0,0.5105263157894737,0.2557402725197387,48,10
icu_physiology (previous),9,1,0.5407925407925408,0.2578094254230618,50,11
icu_physiology (previous),9,2,0.31625,0.15721468960206014,50,10
icu_physiology (previous),9,3,0.7632113821138211,0.4813690777178546,53,12
icu_physiology (previous),9,4,0.48780487804878053,0.1936424651693738,51,10
icu_physiology (previous),10,0,0.46895787139689576,0.22356640075851897,52,11
icu_physiology (previous),10,1,0.62875,0.2812927317898071,50,10
icu_physiology (previous),10,2,0.45833333333333337,0.25878317882773716,54,12
icu_physiology (previous),10,3,0.4394736842105263,0.21646632849255312,48,10
icu_physiology (previous),10,4,0.5092105263157896,0.2380918005350808,48,10
icu_physiology (previous),11,0,0.532150776053215,0.2846571845320281,52,11
icu_physiology (previous),11,1,0.6197368421052631,0.32506374699469326,48,10
icu_physiology (previous),11,2,0.6547406082289803,0.3669526972340458,56,13
icu_physiology (previous),11,3,0.431578947368421,0.21037745902868368,48,10
icu_physiology (previous),11,4,0.4757834757834758,0.1972815034218543,48,9
icu_physiology (previous),12,0,0.38846153846153847,0.19308033000874084,49,10
icu_physiology (previous),12,1,0.5225,0.22227760667454813,50,10
icu_physiology (previous),12,2,0.4552845528455285,0.2628168308453166,53,12
icu_physiology (previous),12,3,0.50375,0.21426217983984353,50,10
icu_physiology (previous),12,4,0.45104895104895104,0.21933138541612468,50,11
icu_physiology (previous),13,0,0.45,0.20843081384026263,51,10
icu_physiology (previous),13,1,0.44642857142857145,0.23473362556090563,54,12
icu_physiology (previous),13,2,0.5717948717948719,0.29459541232761044,49,10
icu_physiology (previous),13,3,0.4432432432432432,0.2203512010925021,47,10
icu_physiology (previous),13,4,0.38181818181818183,0.19425900359954862,51,11
icu_physiology (previous),14,0,0.5455840455840456,0.2635431447878166,48,9
icu_physiology (previous),14,1,0.5852272727272727,0.25013557068767156,51,11
icu_physiology (previous),14,2,0.4025974025974026,0.18275223808767685,53,11
icu_physiology (previous),14,3,0.5020833333333334,0.2717753486529747,52,12
icu_physiology (previous),14,4,0.5,0.2247953216374269,48,10
icu_physiology (previous),15,0,0.2719512195121951,0.14637736398711154,51,10
icu_physiology (previous),15,1,0.6711538461538462,0.3689964157706093,53,13
icu_physiology (previous),15,2,0.48589743589743595,0.24998120300751875,49,10
icu_physiology (previous),15,3,0.4527777777777777,0.17229290974673186,49,9
icu_physiology (previous),15,4,0.5011655011655012,0.24317529721863756,50,11
icu_physiology (previous),16,0,0.46125000000000005,0.1864263764873521,50,10
icu_physiology (previous),16,1,0.5436507936507937,0.2893908222728823,54,12
icu_physiology (previous),16,2,0.4902597402597403,0.27389470373660096,53,11
icu_physiology (previous),16,3,0.3144736842105263,0.21128654907710887,48,10
icu_physiology (previous),16,4,0.39459459459459456,0.2060203681942812,47,10
icu_physiology (previous),17,0,0.37202380952380953,0.20065007196888332,54,12
icu_physiology (previous),17,1,0.4202279202279202,0.19093915343915344,48,9
icu_physiology (previous),17,2,0.5275000000000001,0.27485954999061335,50,10
icu_physiology (previous),17,3,0.481578947368421,0.2249959408342802,48,10
icu_physiology (previous),17,4,0.5833333333333333,0.32772047678031097,52,12
icu_physiology (previous),18,0,0.35365853658536583,0.1780009780592079,51,10
icu_physiology (previous),18,1,0.5553470919324578,0.30259111511479836,54,13
icu_physiology (previous),18,2,0.39210526315789473,0.18745858448764519,48,10
icu_physiology (previous),18,3,0.4628205128205128,0.22850032080900254,49,10
icu_physiology (previous),18,4,0.545,0.22935995735995737,50,10
icu_physiology (previous),19,0,0.5333333333333333,0.2647705672705673,49,10
icu_physiology (previous),19,1,0.5548780487804879,0.3154174685521435,53,12
icu_physiology (previous),19,2,0.41585365853658535,0.21554675599573736,51,10
icu_physiology (previous),19,3,0.3910256410256411,0.17401233545004097,49,10
icu_physiology (previous),19,4,0.5174825174825175,0.2597932751437132,50,11
discharge_context (new),0,0,0.4853658536585366,0.19522896253567013,51,10
discharge_context (new),0,1,0.5025641025641026,0.24820619894995172,49,10
discharge_context (new),0,2,0.47,0.21286472488600147,50,10
discharge_context (new),0,3,0.3943089430894309,0.20955129702701672,53,12
discharge_context (new),0,4,0.5574162679425837,0.38565751919253655,49,11
discharge_context (new),1,0,0.6475000000000001,0.28234291633499525,50,10
discharge_context (new),1,1,0.5487804878048781,0.2964988297610249,51,10
discharge_context (new),1,2,0.43846153846153846,0.2205249427448604,49,10
discharge_context (new),1,3,0.7365967365967365,0.5451495314892444,50,11
discharge_context (new),1,4,0.48333333333333334,0.2248618911065144,52,12
discharge_context (new),2,0,0.5731707317073171,0.336836951021325,53,12
discharge_context (new),2,1,0.6004273504273505,0.3257081697965406,51,12
discharge_context (new),2,2,0.6463414634146342,0.36249787331381256,51,10
discharge_context (new),2,3,0.5,0.18785327188993,49,9
discharge_context (new),2,4,0.5105263157894737,0.2224032692453745,48,10
discharge_context (new),3,0,0.4708333333333334,0.23278719532044,52,12
discharge_context (new),3,1,0.5545454545454546,0.3303724927449983,51,11
discharge_context (new),3,2,0.5166666666666666,0.23792527609731912,49,9
discharge_context (new),3,3,0.45232815964523276,0.2145793895125446,52,11
discharge_context (new),3,4,0.32631578947368417,0.16669344688235577,48,10
discharge_context (new),4,0,0.34500000000000003,0.16043019688214064,50,10
discharge_context (new),4,1,0.48421052631578954,0.2457499489680341,48,10
discharge_context (new),4,2,0.6075,0.34431969889474956,50,10
discharge_context (new),4,3,0.7375,0.4304805720595194,50,10
discharge_context (new),4,4,0.42213883677298314,0.21799034614407015,54,13
discharge_context (new),5,0,0.6121951219512195,0.32889660339660337,51,10
discharge_context (new),5,1,0.4541666666666667,0.21376198927539103,52,12
discharge_context (new),5,2,0.603988603988604,0.23853785103785102,48,9
